year,asia_ex_turkey_net_purchase_tonnes,turkey_net_purchase_tonnes,asia_incl_turkey_net_purchase_tonnes,top_asia_buyers,top_asia_sellers,country_count
2002,107.7,0.0,107.7,China 99.2; Philippines 23.3; Thailand 0.6; Jordan 0.2; South Korea 0.1; Pakistan 0.1,Oman -9.0; Kazakhstan -4.1; Mongolia -1.3; Sri Lanka -1.2,38
2003,-27.2,0.0,-27.2,Thailand 3.1; Taiwan Province of China 1.9; Lao PDR 1.4; Kazakhstan 1.0; Tajikistan 0.4; South Korea 0.1,Philippines -15.9; United Arab Emirates -12.3; Mongolia -3.9; Sri Lanka -1.6,38
2004,-149.4,0.0,-149.4,Thailand 3.1; Kazakhstan 3.0; Qatar 0.7; Tajikistan 0.6; Mongolia 0.5; South Korea 0.2,Iraq -123.0; Philippines -34.2; Taiwan Province of China -0.3,39
2005,-65.5,0.0,-65.5,Kazakhstan 2.7; Lao PDR 0.9; Tajikistan 0.2; South Korea 0.1,Philippines -66.9; Mongolia -1.0; Nepal -0.7; Qatar -0.7,39
2006,-23.0,0.0,-23.0,Kazakhstan 7.6; Mongolia 6.7; Lao PDR 2.0; Tajikistan 0.1,Indonesia -23.3; Philippines -10.8; Nepal -4.0; South Korea -1.2,39
2007,6.1,-0.0,6.1,Qatar 11.8; Kazakhstan 2.2; Jordan 1.6; South Korea 1.3; Mongolia 0.8; Tajikistan 0.3,Philippines -12.1,39
2008,202.2,0.0,202.2,Saudi Arabia 180.0; Philippines 22.3; Kazakhstan 2.4; Lao PDR 2.3; Tajikistan 0.5; Taiwan Province of China 0.3,Mongolia -4.1; Jordan -1.5; Syria -0.1,39
2009,668.8,0.0,668.8,China 454.1; India 200.0; Sri Lanka 15.8; Nepal 1.5; Philippines 1.2; Tajikistan 0.2,Mongolia -2.5; Kazakhstan -1.5,39
2010,10.5,0.0,10.5,Thailand 15.6; Bangladesh 10.0; Mongolia 1.1,Sri Lanka -10.3; Kazakhstan -3.1; Pakistan -1.0; Philippines -1.0,39
2011,115.1,79.2,194.3,Thailand 52.9; South Korea 40.0; Kazakhstan 14.7; Philippines 5.0; Tajikistan 2.9; Mongolia 1.5,Taiwan Province of China -1.2; Sri Lanka -0.8,38
2012,130.5,164.3,294.8,Philippines 33.6; Kazakhstan 33.3; South Korea 30.0; Iraq 23.9; Sri Lanka 3.6; Tajikistan 1.6,,38
2013,264.1,160.1,424.2,Uzbekistan 166.1; Kazakhstan 28.4; Azerbaijan 20.0; South Korea 20.0; Iraq 12.4; Sri Lanka 9.3,Tajikistan -1.0,39
2014,172.4,9.4,181.8,Uzbekistan 57.2; Kazakhstan 48.1; Iraq 47.6; Azerbaijan 10.2; Jordan 3.7; Tajikistan 3.5,Mongolia -1.1; Malaysia -0.6,38
2015,815.2,-13.6,801.7,China 708.2; Uzbekistan 37.0; Kazakhstan 30.0; Jordan 22.1; Qatar 9.8; United Arab Emirates 7.5,Lao PDR -8.5; Sri Lanka -0.8; Mongolia -0.6,38
2016,139.3,-138.5,0.8,China 80.2; Kazakhstan 36.2; Uzbekistan 17.1; Qatar 7.5; Cambodia 5.1; Tajikistan 2.0,Azerbaijan -10.2; Mongolia -0.5; United Arab Emirates -0.1,38
2017,50.9,187.7,238.6,Kazakhstan 41.8; Jordan 8.3; Uzbekistan 7.8; Cambodia 3.0; Mongolia 2.5; Indonesia 2.5,Azerbaijan -20.0; Malaysia -0.6,38
2018,156.3,-76.2,80.0,Kazakhstan 50.6; India 42.3; Uzbekistan 18.7; Mongolia 14.4; China 10.0; Cambodia 8.0,Jordan -5.0; Sri Lanka -2.4; Indonesia -2.0; United Arab Emirates -0.1,38
2019,179.2,64.7,243.8,China 95.8; Kazakhstan 35.0; India 34.5; United Arab Emirates 15.0; Qatar 11.0; Cambodia 5.0,Uzbekistan -19.3; Tajikistan -2.9; Taiwan Province of China -1.2; Jordan -0.9,37
2020,79.4,163.2,242.5,India 41.7; United Arab Emirates 35.1; Jordan 17.7; Qatar 14.5; Cambodia 10.0; Kazakhstan 2.4,Mongolia -14.8; Sri Lanka -12.9; Philippines -9.1; Tajikistan -5.5,35
2021,275.7,-58.6,217.1,Thailand 90.2; Japan 80.8; India 77.5; Uzbekistan 29.5; Singapore 26.3; Kazakhstan 14.5,Philippines -30.0; Tajikistan -11.9; Kyrgyz Republic -6.6; Sri Lanka -3.7,35
2022,181.4,129.1,310.5,China 62.2; Qatar 35.1; Uzbekistan 33.9; Iraq 33.9; India 33.3; United Arab Emirates 19.5,Kazakhstan -50.7; Mongolia -3.2; Sri Lanka -2.5; Philippines -1.1,35
2023,256.0,-60.4,195.5,China 224.9; Singapore 76.3; India 16.2; Iraq 12.3; Qatar 9.2; Kyrgyz Republic 5.2,Kazakhstan -57.4; Uzbekistan -24.6; Cambodia -10.0; Taiwan Province of China -1.2,34
2024,132.9,35.6,168.5,India 72.6; China 44.2; Iraq 20.1; Kyrgyz Republic 16.6; Uzbekistan 11.2; Qatar 9.9,Philippines -28.6; Kazakhstan -10.2; Singapore -10.1; Thailand -9.6,32
